MSZoning,LotFrontage,LotArea,Street,LandContour,Neighborhood,BldgType,HouseStyle,YearBuilt,RoofMatl,Exterior2nd,MasVnrType,MasVnrArea,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,TotalBsmtSF,HeatingQC,CentralAir,Electrical,GrLivArea,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,PoolQC,Fence,SaleType,SaleCondition,SalePrice,TotBath,TotalPorchSF,Pool
RL,65.0,8450,Pave,Lvl,CollgCr,1Fam,2Story,2003,CompShg,VinylSd,BrkFace,196.0,TA,PConc,Gd,TA,No,GLQ,856,Ex,Y,SBrkr,1710,Gd,Typ,0,NA,Attchd,RFn,2,TA,TA,Y,0,NA,NA,WD,Normal,208500,4,61,No
RL,80.0,9600,Pave,Lvl,Veenker,1Fam,1Story,1976,CompShg,MetalSd,None,0.0,TA,CBlock,Gd,TA,Gd,ALQ,1262,Ex,Y,SBrkr,1262,TA,Typ,1,TA,Attchd,RFn,2,TA,TA,Y,298,NA,NA,WD,Normal,181500,3,0,No
RL,68.0,11250,Pave,Lvl,CollgCr,1Fam,2Story,2001,CompShg,VinylSd,BrkFace,162.0,TA,PConc,Gd,TA,Mn,GLQ,920,Ex,Y,SBrkr,1786,Gd,Typ,1,TA,Attchd,RFn,2,TA,TA,Y,0,NA,NA,WD,Normal,223500,4,42,No
RL,60.0,9550,Pave,Lvl,Crawfor,1Fam,2Story,1915,CompShg,Wd Shng,None,0.0,TA,BrkTil,TA,Gd,No,ALQ,756,Gd,Y,SBrkr,1717,Gd,Typ,1,Gd,Detchd,Unf,3,TA,TA,Y,0,NA,NA,WD,Abnorml,140000,2,307,No
RL,84.0,14260,Pave,Lvl,NoRidge,1Fam,2Story,2000,CompShg,VinylSd,BrkFace,350.0,TA,PConc,Gd,TA,Av,GLQ,1145,Ex,Y,SBrkr,2198,Gd,Typ,1,TA,Attchd,RFn,3,TA,TA,Y,192,NA,NA,WD,Normal,250000,4,84,No
RL,85.0,14115,Pave,Lvl,Mitchel,1Fam,1.5Fin,1993,CompShg,VinylSd,None,0.0,TA,Wood,Gd,TA,No,GLQ,796,Ex,Y,SBrkr,1362,TA,Typ,0,NA,Attchd,Unf,2,TA,TA,Y,40,NA,MnPrv,WD,Normal,143000,3,30,No
RL,75.0,10084,Pave,Lvl,Somerst,1Fam,1Story,2004,CompShg,VinylSd,Stone,186.0,TA,PConc,Ex,TA,Av,GLQ,1686,Ex,Y,SBrkr,1694,Gd,Typ,1,Gd,Attchd,RFn,2,TA,TA,Y,255,NA,NA,WD,Normal,307000,3,57,No
RL,70.0,10382,Pave,Lvl,NWAmes,1Fam,2Story,1973,CompShg,HdBoard,Stone,240.0,TA,CBlock,Gd,TA,Mn,ALQ,1107,Ex,Y,SBrkr,2090,TA,Typ,2,TA,Attchd,RFn,2,TA,TA,Y,235,NA,NA,WD,Normal,200000,4,432,No
RM,51.0,6120,Pave,Lvl,OldTown,1Fam,1.5Fin,1931,CompShg,Wd Shng,None,0.0,TA,BrkTil,TA,TA,No,Unf,952,Gd,Y,FuseF,1774,TA,Min1,2,TA,Detchd,Unf,2,Fa,TA,Y,90,NA,NA,WD,Abnorml,129900,2,205,No
RL,50.0,7420,Pave,Lvl,BrkSide,2fmCon,1.5Unf,1939,CompShg,MetalSd,None,0.0,TA,BrkTil,TA,TA,No,GLQ,991,Ex,Y,SBrkr,1077,TA,Typ,2,TA,Attchd,RFn,1,Gd,TA,Y,0,NA,NA,WD,Normal,118000,2,4,No
RL,70.0,11200,Pave,Lvl,Sawyer,1Fam,1Story,1965,CompShg,HdBoard,None,0.0,TA,CBlock,TA,TA,No,Rec,1040,Ex,Y,SBrkr,1040,TA,Typ,0,NA,Detchd,Unf,1,TA,TA,Y,0,NA,NA,WD,Normal,129500,2,0,No
RL,85.0,11924,Pave,Lvl,NridgHt,1Fam,2Story,2005,CompShg,Wd Shng,Stone,286.0,TA,PConc,Ex,TA,No,GLQ,1175,Ex,Y,SBrkr,2324,Ex,Typ,2,Gd,BuiltIn,Fin,3,TA,TA,Y,147,NA,NA,New,Partial,345000,4,21,No
RL,70.0,12968,Pave,Lvl,Sawyer,1Fam,1Story,1962,CompShg,Plywood,None,0.0,TA,CBlock,TA,TA,No,ALQ,912,TA,Y,SBrkr,912,TA,Typ,0,NA,Detchd,Unf,1,TA,TA,Y,140,NA,NA,WD,Normal,144000,2,176,No
RL,91.0,10652,Pave,Lvl,CollgCr,1Fam,1Story,2006,CompShg,VinylSd,Stone,306.0,TA,PConc,Gd,TA,Av,Unf,1494,Ex,Y,SBrkr,1494,Gd,Typ,1,Gd,Attchd,RFn,3,TA,TA,Y,160,NA,NA,New,Partial,279500,2,33,No
RL,70.0,10920,Pave,Lvl,NAmes,1Fam,1Story,1960,CompShg,MetalSd,BrkFace,212.0,TA,CBlock,TA,TA,No,BLQ,1253,TA,Y,SBrkr,1253,TA,Typ,1,Fa,Attchd,RFn,1,TA,TA,Y,0,NA,GdWo,WD,Normal,157000,3,389,No
RM,51.0,6120,Pave,Lvl,BrkSide,1Fam,1.5Unf,1929,CompShg,Wd Sdng,None,0.0,TA,BrkTil,TA,TA,No,Unf,832,Ex,Y,FuseA,854,TA,Typ,0,NA,Detchd,Unf,2,TA,TA,Y,48,NA,GdPrv,WD,Normal,132000,1,112,No
RL,70.0,11241,Pave,Lvl,NAmes,1Fam,1Story,1970,CompShg,Wd Sdng,BrkFace,180.0,TA,CBlock,TA,TA,No,ALQ,1004,Ex,Y,SBrkr,1004,TA,Typ,1,TA,Attchd,Fin,2,TA,TA,Y,0,NA,NA,WD,Normal,149000,2,0,No
RL,72.0,10791,Pave,Lvl,Sawyer,Duplex,1Story,1967,CompShg,MetalSd,None,0.0,TA,Slab,NA,NA,NA,NA,0,TA,Y,SBrkr,1296,TA,Typ,0,NA,CarPort,Unf,2,TA,TA,Y,0,NA,NA,WD,Normal,90000,2,0,No
RL,66.0,13695,Pave,Lvl,SawyerW,1Fam,1Story,2004,CompShg,VinylSd,None,0.0,TA,PConc,TA,TA,No,GLQ,1114,Ex,Y,SBrkr,1114,Gd,Typ,0,NA,Detchd,Unf,2,TA,TA,Y,0,NA,NA,WD,Normal,159000,3,102,No
RL,70.0,7560,Pave,Lvl,NAmes,1Fam,1Story,1958,CompShg,Plywood,None,0.0,TA,CBlock,TA,TA,No,LwQ,1029,TA,Y,SBrkr,1339,TA,Min1,0,NA,Attchd,Unf,1,TA,TA,Y,0,NA,MnPrv,COD,Abnorml,139000,1,0,No
RL,101.0,14215,Pave,Lvl,NridgHt,1Fam,2Story,2005,CompShg,VinylSd,BrkFace,380.0,TA,PConc,Ex,TA,Av,Unf,1158,Ex,Y,SBrkr,2376,Gd,Typ,1,Gd,BuiltIn,RFn,3,TA,TA,Y,240,NA,NA,New,Partial,325300,4,154,No
RM,57.0,7449,Pave,Bnk,IDOTRR,1Fam,1.5Unf,1930,CompShg,Wd Sdng,None,0.0,TA,PConc,TA,TA,No,Unf,637,Ex,Y,FuseF,1108,Gd,Typ,1,Gd,Attchd,Unf,1,TA,TA,N,0,NA,GdPrv,WD,Normal,139400,1,205,No
RL,75.0,9742,Pave,Lvl,CollgCr,1Fam,1Story,2002,CompShg,VinylSd,BrkFace,281.0,TA,PConc,Gd,TA,No,Unf,1777,Ex,Y,SBrkr,1795,Gd,Typ,1,Gd,Attchd,RFn,2,TA,TA,Y,171,NA,NA,WD,Normal,230000,2,159,No
RM,44.0,4224,Pave,Lvl,MeadowV,TwnhsE,1Story,1976,CompShg,CmentBd,None,0.0,TA,PConc,Gd,TA,No,GLQ,1040,TA,Y,SBrkr,1060,TA,Typ,1,TA,Attchd,Unf,2,TA,TA,Y,100,NA,NA,WD,Normal,129900,2,110,No
RL,70.0,8246,Pave,Lvl,Sawyer,1Fam,1Story,1968,CompShg,Plywood,None,0.0,Gd,CBlock,TA,TA,Mn,Rec,1060,Ex,Y,SBrkr,1060,Gd,Typ,1,TA,Attchd,Unf,1,TA,TA,Y,406,NA,MnPrv,WD,Normal,154000,2,90,No
RL,110.0,14230,Pave,Lvl,NridgHt,1Fam,1Story,2007,CompShg,VinylSd,Stone,640.0,TA,PConc,Gd,TA,No,Unf,1566,Ex,Y,SBrkr,1600,Gd,Typ,1,Gd,Attchd,RFn,3,TA,TA,Y,0,NA,NA,WD,Normal,256300,2,56,No
RL,60.0,7200,Pave,Lvl,NAmes,1Fam,1Story,1951,CompShg,Wd Sdng,None,0.0,TA,CBlock,TA,TA,Mn,BLQ,900,TA,Y,SBrkr,900,Gd,Typ,0,NA,Detchd,Unf,2,TA,TA,Y,222,NA,NA,WD,Normal,134800,2,32,No
RL,98.0,11478,Pave,Lvl,NridgHt,1Fam,1Story,2007,CompShg,VinylSd,Stone,200.0,TA,PConc,Ex,TA,No,GLQ,1704,Ex,Y,SBrkr,1704,Gd,Typ,1,Gd,Attchd,RFn,3,TA,TA,Y,0,NA,NA,WD,Normal,306000,3,50,No
RL,47.0,16321,Pave,Lvl,NAmes,1Fam,1Story,1957,CompShg,MetalSd,None,0.0,TA,CBlock,TA,TA,Gd,BLQ,1484,TA,Y,SBrkr,1600,TA,Typ,2,Gd,Attchd,RFn,1,TA,TA,Y,288,NA,NA,WD,Normal,207500,2,258,No
RM,60.0,6324,Pave,Lvl,BrkSide,1Fam,1Story,1927,CompShg,MetalSd,None,0.0,TA,BrkTil,TA,TA,No,Unf,520,Fa,N,SBrkr,520,Fa,Typ,0,NA,Detchd,Unf,1,Fa,TA,Y,49,NA,NA,WD,Normal,68500,1,87,No
C (all),50.0,8500,Pave,Lvl,IDOTRR,1Fam,2Story,1920,CompShg,BrkFace,None,0.0,Fa,BrkTil,TA,TA,No,Unf,649,TA,N,SBrkr,1317,TA,Typ,0,NA,Detchd,Unf,1,TA,Fa,N,0,NA,MnPrv,WD,Normal,40000,1,226,No
RL,70.0,8544,Pave,Lvl,Sawyer,1Fam,1Story,1966,CompShg,HdBoard,None,0.0,TA,CBlock,TA,TA,No,Unf,1228,Gd,Y,SBrkr,1228,Gd,Typ,0,NA,Attchd,Unf,1,TA,TA,Y,0,NA,MnPrv,WD,Normal,149350,2,65,No
RL,85.0,11049,Pave,Lvl,CollgCr,1Fam,1Story,2007,CompShg,VinylSd,None,0.0,TA,PConc,Ex,TA,Av,Unf,1234,Ex,Y,SBrkr,1234,Gd,Typ,0,NA,Attchd,RFn,2,TA,TA,Y,0,NA,NA,WD,Normal,179900,2,30,No
RL,70.0,10552,Pave,Lvl,NAmes,1Fam,1Story,1959,CompShg,BrkFace,None,0.0,TA,CBlock,TA,TA,No,Rec,1398,Gd,Y,SBrkr,1700,Gd,Typ,1,Gd,Attchd,RFn,2,TA,TA,Y,0,NA,NA,WD,Normal,165500,3,38,No
RL,60.0,7313,Pave,Lvl,NridgHt,TwnhsE,1Story,2005,CompShg,MetalSd,BrkFace,246.0,TA,PConc,Ex,TA,No,GLQ,1561,Ex,Y,SBrkr,1561,Ex,Typ,1,Gd,Attchd,Fin,2,TA,TA,Y,203,NA,NA,WD,Normal,277500,3,47,No
RL,108.0,13418,Pave,Lvl,NridgHt,1Fam,2Story,2004,CompShg,VinylSd,Stone,132.0,TA,PConc,Ex,TA,Av,Unf,1117,Ex,Y,SBrkr,2452,Gd,Typ,1,Gd,BuiltIn,Fin,3,TA,TA,Y,113,NA,NA,WD,Normal,309000,4,32,No
RL,112.0,10859,Pave,Lvl,CollgCr,1Fam,1Story,1994,CompShg,VinylSd,None,0.0,TA,PConc,Gd,TA,No,Unf,1097,Ex,Y,SBrkr,1097,TA,Typ,0,NA,Attchd,Unf,2,TA,TA,Y,392,NA,NA,WD,Normal,145000,2,64,No
RL,74.0,8532,Pave,Lvl,NAmes,1Fam,1Story,1954,CompShg,Wd Sdng,BrkFace,650.0,TA,CBlock,TA,TA,No,Rec,1297,Gd,Y,SBrkr,1297,TA,Typ,1,TA,Attchd,Fin,2,TA,TA,Y,0,NA,NA,WD,Normal,153000,2,0,No
